"FriendlyName","Class","Status","Problem","InstanceId"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL02\8&24C30B19&0&0001"
"TSC TE244","Printer","Unknown","CM_PROB_PHANTOM","USBPRINT\TSCTE244\6&10B3E789&0&USB001"
"Intel(R) PerfMon IPF Extension Provider","SoftwareComponent","Degraded","CM_PROB_NONE","SWD\DRIVERENUM\{F7BC2682-70EB-4557-B9E0-86B069B3709C}#IPFEFPROVIDERCOMPONENT&5&2C393730&0"
"Cirrus Logic XU","MEDIA","Unknown","CM_PROB_PHANTOM","SOUNDWIRE\SDCA_06&MAN_01FA&FUNC_4243&TYPE_06&VER_01&ADR_03&LID_00&UID_00&SUBSYS_0CE81028&DYNAMICENUMSPEAKER0\8&B098AAE&0&00001300"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\8&17CA6AF0&0&0003"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL01\8&1DFCDEF3&0&0000"
"Intel(R) PCD Telemetry IPF Extension Provider","SoftwareComponent","Degraded","CM_PROB_NONE","SWD\DRIVERENUM\{D10BFA0C-8CB5-4674-8428-3633604B8C33}#IPFEFPROVIDERCOMPONENT&5&2C393730&0"
"Intel(R) Ethernet Connection (24) I219-LM","Net","Error","CM_PROB_FAILED_POST_START","PCI\VEN_8086&DEV_57A0&SUBSYS_0CE81028&REV_00\3&11583659&0&FE"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_0A8F&MI_03\7&979CB7E&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_047F&PID_C058&MI_03\6&67F655B&0&0003"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_00\8&1DF37E33&0&0000"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_02&COL01\7&36981BE3&0&0000"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&8&3095C9EA&0"
"USB2 Controller Hub","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_7260&MI_00\7&2E6901D8&0&0000"
"ACPI Power Button","System","Unknown","CM_PROB_PHANTOM","ACPI\PNP0C0C\2&DABA3FF&0"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_0A8F\5&2DC84FBA&0&7"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_4503&MI_00\6&25B24EBB&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_02\8&2985FA89&0&0002"
"Hub Feature Controller","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_284C&MI_00\7&1839E01B&0&0000"
"Dell P2422HE(USB Type_C)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\DELA1C6\4&20B8D095&0&UID24648"
"Dell Display and Peripheral Manager Software","SoftwareComponent","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\DPMAUTOINSTALLDRIVER_DEVICE_COMPONENT&9&15273FE1&0"
"Dell Universal Receiver HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_4503&MI_02&COL02\8&3AFFADC2&0&0001"
"Plantronics Blackwire 3225 Series","MEDIA","Unknown","CM_PROB_PHANTOM","USB\VID_047F&PID_C058&MI_00\6&67F655B&0&0000"
"Headset Microphone (Dell WH3024 Headset)","AudioEndpoint","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{6590EAB2-2FDF-4B57-93F0-5C213138B6B4}"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_00\7&7383B30&0&0000"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\7&25936E11&0&0001"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\9&1020ADD9&0&0002"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_248D&PID_8003\7&A758D7D&0&3"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_0424&PID_284C&MI_01\8&2024EC15&0&0000"
"Generic Monitor (Logi)","Monitor","Unknown","CM_PROB_PHANTOM","DISPLAY\TSB2345\4&20B8D095&0&UID4145"
"HID-compliant system controller","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL03\8&4955910&0&0002"
"Plantronics Blackwire 3215 Series","MEDIA","Unknown","CM_PROB_PHANTOM","USB\VID_047F&PID_C057&MI_00\6&162F5009&0&0000"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C538\6&196302D4&0&3"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_02\6&5406B41&0&0002"
"Generic SuperSpeed USB Hub","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_7216\6&1C6DAA9C&0&4"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_2514&MI_01&COL02\8&4955910&0&0001"
